ChEMBL_ID,SMILES
CHEMBL499,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2
CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12
CHEMBL276832,NNc1nncc2ccccc12
CHEMBL501,CC(N)Cc1ccccc1.OS(=O)(=O)O
CHEMBL267345,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O
CHEMBL90,NCCc1c[nH]cn1
CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
CHEMBL92,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C
CHEMBL93,CC(N(O)C(=O)N)c1cc2ccccc2s1
CHEMBL94,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1
CHEMBL95,Nc1c2CCCCc2nc3ccccc13
CHEMBL502,COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
CHEMBL12610,CN(C)CCCOc1nn(Cc2ccccc2)c3ccccc13
CHEMBL504,C[S+](C)[O-]
CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1
CHEMBL509,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
CHEMBL12713,Fc1ccc(cc1)n2cc(C3CCN(CCN4CCNC4=O)CC3)c5cc(Cl)ccc25
CHEMBL513,ClCCNC(=O)N(CCCl)N=O
CHEMBL514,ClCCN(N=O)C(=O)NC1CCCCC1
CHEMBL515,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
CHEMBL516,CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1
CHEMBL12856,NC1=CC(=CNC1=O)c2ccncc2
CHEMBL517,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C
CHEMBL412873,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@@H]34)[C@H]2C1
CHEMBL98,ONC(=O)CCCCCCC(=O)Nc1ccccc1
CHEMBL267648,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCN(C)CC3
CHEMBL521,CC(C)Cc1ccc(cc1)C(C)C(=O)O
CHEMBL13376,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
CHEMBL13280,CN1C(=O)CN=C(c2ccccc2F)c3cc(ccc13)[N+](=O)[O-]
